; Helmut Quabeck HQ-2,5/9
 1.0000  0.0000
 0.9500  0.0081
 0.9000  0.0169
 0.8500  0.0249
 0.8000  0.0329
 0.7000  0.0472
 0.6000  0.0585
 0.5000  0.0658
 0.4000  0.0686
 0.3500  0.0690
 0.3000  0.0676
 0.2500  0.0653
 0.2000  0.0617
 0.1500  0.0560
 0.1000  0.0475
 0.0500  0.0339
 0.0250  0.0232
 0.0125  0.0148
 0.0050  0.0091
 0.0000  0.0000
 0.0050 -0.0045
 0.0125 -0.0080
 0.0250 -0.0110
 0.0500 -0.0143
 0.1000 -0.0175
 0.1500 -0.0198
 0.2000 -0.0206
 0.2500 -0.0213
 0.3000 -0.0212
 0.3500 -0.0210
 0.4000 -0.0197
 0.5000 -0.0158
 0.6000 -0.0100
 0.7000 -0.0032
 0.8000  0.0017
 0.8500  0.0030
 0.9000  0.0031
 0.9500  0.0022
 1.0000  0.0000
end
