; Helmut Quabeck HQ-1,0/9
 1.0000  0.0000
 0.9500  0.0050
 0.9000  0.0109
 0.8500  0.0165
 0.8000  0.0225
 0.7000  0.0340
 0.6000  0.0440
 0.5000  0.0508
 0.4000  0.0540
 0.3500  0.0546
 0.3000  0.0537
 0.2500  0.0521
 0.2000  0.0494
 0.1500  0.0456
 0.1000  0.0385
 0.0500  0.0280
 0.0250  0.0195
 0.0125  0.0128
 0.0050  0.0084
 0.0000  0.0000
 0.0050 -0.0062
 0.0125 -0.0101
 0.0250 -0.0147
 0.0500 -0.0202
 0.1000 -0.0265
 0.1500 -0.0309
 0.2000 -0.0325
 0.2500 -0.0345
 0.3000 -0.0351
 0.3500 -0.0354
 0.4000 -0.0344
 0.5000 -0.0308
 0.6000 -0.0246
 0.7000 -0.0164
 0.8000 -0.0087
 0.8500 -0.0054
 0.9000 -0.0029
 0.9500 -0.0009
 1.0000  0.0000
end
